label_col,mri_table,number_of_pos,number_of_neg,test_set_size,y_label_ratio,sex_label_ratio,Feature_extraction_applied,Pretraining_applied,model_type,Accuracy,AUC,Balanced_ACC,Permutation_Balanced_ACC,number_of_cross_validations,cross_validation_count,search_term
label_age_group,aparc.volume_aparc.thickness.csv,3046,2643,5331,2.4059275933220783,0.4927780904145564,False,False,XGBoost,0.421496904895892,0.7510354303015752,0.3322572532613528,0.1611810015386852,5,3,label_age_group_aparc.volume_aparc.thickness.csv
label_age_group,aparc.volume_aparc.thickness.csv,3046,2643,5331,2.4059275933220783,0.4927780904145564,False,False,TabPFN,0.4796473457137498,0.817732716006507,0.3864187686189704,0.1660482224248953,5,3,label_age_group_aparc.volume_aparc.thickness.csv
label_age_group,aparc.volume_aparc.thickness.csv,3046,2643,5331,2.4059275933220783,0.4927780904145564,False,False,Random Forest,0.4055524291877696,0.722284977498901,0.3079653582142135,0.1715224326447368,5,3,label_age_group_aparc.volume_aparc.thickness.csv
label_age_group,aparc.volume_aparc.thickness.csv,3046,2643,5331,2.4053648471206155,0.5096604764584506,False,False,CatBoost,0.4406302757456387,0.7723668661405894,0.3530867379507367,0.1650099465304121,5,4,label_age_group_aparc.volume_aparc.thickness.csv
label_age_group,aparc.volume_aparc.thickness.csv,3046,2643,5331,2.4053648471206155,0.5096604764584506,False,False,XGBoost,0.4246858000375164,0.7421237405199029,0.3300745878957416,0.1636815580688443,5,4,label_age_group_aparc.volume_aparc.thickness.csv
label_age_group,aparc.volume_aparc.thickness.csv,3046,2643,5331,2.4053648471206155,0.5096604764584506,False,False,TabPFN,0.4817107484524479,0.8154976049533103,0.3819315452828154,0.163064088018298,5,4,label_age_group_aparc.volume_aparc.thickness.csv
label_age_group,aparc.volume_aparc.thickness.csv,3046,2643,5331,2.4053648471206155,0.5096604764584506,False,False,Random Forest,0.4145563684111799,0.724387610119276,0.3141571485150489,0.1596426041735212,5,4,label_age_group_aparc.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5332,2.4056639159789945,0.4998124531132783,True,False,CatBoost,0.5114403600900225,0.841281138126221,0.4073089379100726,0.176175298723599,5,0,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5332,2.4056639159789945,0.4998124531132783,True,False,XGBoost,0.5031882970742686,0.8202839607534193,0.3992875492161959,0.1671528761631525,5,0,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5332,2.4056639159789945,0.4998124531132783,True,False,TabPFN,0.545198799699925,0.8682432885274277,0.4490808757786306,0.1638615721784234,5,0,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5332,2.4056639159789945,0.4998124531132783,True,False,Random Forest,0.4797449362340585,0.8101661595834396,0.3682526425257797,0.1684567794693786,5,0,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5332,2.4058514628657166,0.5069392348087022,True,False,CatBoost,0.517066766691673,0.8421608502943642,0.4121174328715491,0.1667603488082899,5,1,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5332,2.4058514628657166,0.5069392348087022,True,False,XGBoost,0.4960615153788447,0.8205225540171172,0.3930424238246529,0.1752306487941851,5,1,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5332,2.4058514628657166,0.5069392348087022,True,False,TabPFN,0.563953488372093,0.8716188446738301,0.457272926889094,0.1698930150731008,5,1,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5332,2.4058514628657166,0.5069392348087022,True,False,Random Forest,0.4842460615153788,0.8097863243723662,0.37173443925026,0.174473967917852,5,1,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5331,2.4053648471206155,0.4880885387356968,True,False,CatBoost,0.4974676420934159,0.8339652897770918,0.4007547392802915,0.1585939291543816,5,2,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5331,2.4053648471206155,0.4880885387356968,True,False,XGBoost,0.4850872256612268,0.8069470561802176,0.3859952791570608,0.1654574041212812,5,2,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5331,2.4053648471206155,0.4880885387356968,True,False,TabPFN,0.5438004126805477,0.8646213436162835,0.4477927774435377,0.1656958385197879,5,2,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5331,2.4053648471206155,0.4880885387356968,True,False,Random Forest,0.4800225098480585,0.8140609589102431,0.3710234884330252,0.1648425563853839,5,2,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5331,2.4059275933220783,0.4927780904145564,True,False,CatBoost,0.4944663290189457,0.8356746113812471,0.3977426343200004,0.1704833679838111,5,3,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5331,2.4059275933220783,0.4927780904145564,True,False,XGBoost,0.4905271056087038,0.819525257004683,0.3935101930116328,0.1650157544422517,5,3,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5331,2.4059275933220783,0.4927780904145564,True,False,TabPFN,0.539486025135997,0.8641681070768503,0.4394429282568268,0.1666853727536513,5,3,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5331,2.4059275933220783,0.4927780904145564,True,False,Random Forest,0.4595760645282311,0.8014329200820812,0.353439532869627,0.171263875116271,5,3,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5331,2.4053648471206155,0.5096604764584506,True,False,CatBoost,0.5085349840555243,0.8397561943989941,0.4049989357100125,0.168407096320936,5,4,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5331,2.4053648471206155,0.5096604764584506,True,False,XGBoost,0.4858375539298443,0.8187802098024068,0.3803269582862249,0.1668532224303131,5,4,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5331,2.4053648471206155,0.5096604764584506,True,False,TabPFN,0.5548677546426561,0.8674876258657337,0.4515074516422193,0.1699661890076782,5,4,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5331,2.4053648471206155,0.5096604764584506,True,False,Random Forest,0.473832301631964,0.8096179084475151,0.3580032304689509,0.1737214561148291,5,4,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5332,2.4056639159789945,0.4998124531132783,False,False,CatBoost,0.5114403600900225,0.8423316927326683,0.4087831314274779,0.1617484865085083,5,0,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5332,2.4056639159789945,0.4998124531132783,False,False,XGBoost,0.4939984996249062,0.8191114380063608,0.3924256440986977,0.1673430201954628,5,0,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5332,2.4056639159789945,0.4998124531132783,False,False,TabPFN,0.545198799699925,0.8709996125027578,0.4459470058954247,0.1763871748643574,5,0,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5332,2.4056639159789945,0.4998124531132783,False,False,Random Forest,0.4773068267066767,0.8110809700066862,0.3635779061041941,0.1695880371669806,5,0,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5332,2.4058514628657166,0.5069392348087022,False,False,CatBoost,0.5176294073518379,0.8442061360215787,0.4105869228679939,0.1695849980258885,5,1,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5332,2.4058514628657166,0.5069392348087022,False,False,XGBoost,0.4949362340585146,0.8185816143124617,0.3908019792553271,0.1781360744046637,5,1,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5332,2.4058514628657166,0.5069392348087022,False,False,TabPFN,0.5632033008252063,0.8733213134683232,0.4552642209732358,0.1647860027183834,5,1,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5332,2.4058514628657166,0.5069392348087022,False,False,Random Forest,0.4793698424606151,0.8102328174639112,0.3662039577967933,0.1673930375835643,5,1,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5331,2.4053648471206155,0.4880885387356968,False,False,CatBoost,0.4974676420934159,0.8336088312397548,0.4012000503659991,0.165498580518584,5,2,label_age_group_aseg.volume_aparc.thickness.csv
label_age_group,aseg.volume_aparc.thickness.csv,3046,2643,5331,2.4053648471206155,0.4880885387356968,False,False,XGBoost,0.4811480022509848,0.8048473507559003,0.3803661221270264,0.1695017747656187,5,2,label_age_group_aseg.volume_aparc.thickness.csv
