iter	Passed	Remaining
654	7952	4188
655	7964	4176
656	7975	4163
657	7986	4150
658	7997	4138
659	8009	4126
660	8020	4113
661	8032	4100
662	8043	4088
663	8054	4075
664	8066	4063
665	8077	4050
666	8088	4038
667	8100	4025
668	8112	4013
669	8123	4001
670	8134	3988
671	8145	3975
672	8157	3963
673	8168	3950
674	8179	3938
675	8191	3925
676	8206	3915
677	8217	3902
678	8228	3889
679	8238	3877
680	8249	3864
681	8260	3851
682	8271	3839
683	8282	3826
684	8294	3814
685	8306	3801
686	8317	3789
687	8328	3776
688	8339	3764
689	8350	3751
690	8361	3739
691	8372	3726
692	8383	3713
693	8394	3701
694	8405	3688
695	8416	3676
696	8428	3663
697	8439	3651
698	8450	3638
699	8461	3626
700	8472	3613
701	8483	3601
702	8494	3588
703	8504	3575
704	8516	3563
705	8526	3550
706	8537	3538
707	8548	3525
708	8559	3513
709	8569	3500
710	8580	3487
711	8591	3475
712	8601	3462
713	8612	3449
714	8623	3437
715	8634	3424
716	8645	3412
717	8655	3399
718	8666	3387
719	8677	3374
720	8688	3362
721	8702	3350
722	8713	3338
723	8724	3325
724	8734	3313
725	8745	3300
726	8756	3288
727	8766	3275
728	8777	3263
729	8789	3250
730	8801	3238
731	8812	3226
732	8824	3214
733	8836	3202
734	8847	3189
735	8858	3177
736	8870	3165
737	8881	3153
738	8892	3140
739	8903	3128
740	8915	3116
741	8926	3103
742	8937	3091
743	8948	3079
744	8959	3066
745	8970	3054
746	8981	3041
747	8992	3029
748	9003	3017
749	9013	3004
750	9024	2992
751	9035	2979
752	9046	2967
753	9057	2955
754	9069	2942
755	9080	2930
756	9091	2918
757	9103	2906
758	9114	2893
759	9125	2881
760	9136	2869
761	9147	2857
762	9159	2845
763	9170	2832
764	9182	2820
765	9197	2809
766	9208	2797
767	9236	2790
768	9247	2777
769	9258	2765
770	9269	2753
771	9281	2741
772	9294	2729
773	9306	2717
774	9318	2705
775	9330	2693
776	9342	2681
777	9354	2669
778	9365	2656
779	9376	2644
780	9386	2632
781	9398	2619
782	9409	2607
783	9420	2595
784	9431	2583
785	9442	2570
786	9454	2558
787	9464	2546
788	9475	2533
789	9485	2521
790	9495	2509
791	9506	2496
792	9516	2484
793	9527	2471
794	9538	2459
795	9549	2447
796	9560	2435
797	9571	2422
798	9581	2410
799	9591	2397
800	9601	2385
801	9612	2373
802	9623	2360
803	9634	2348
804	9644	2336
805	9655	2324
806	9666	2311
807	9677	2299
808	9691	2288
809	9702	2275
810	9713	2263
811	9724	2251
812	9735	2239
813	9746	2226
814	9757	2214
815	9767	2202
816	9778	2190
817	9790	2178
818	9801	2166
819	9811	2153
820	9822	2141
821	9833	2129
822	9844	2117
823	9855	2104
824	9865	2092
825	9876	2080
826	9888	2068
827	9899	2056
828	9910	2044
829	9921	2032
830	9932	2019
831	9942	2007
832	9953	1995
833	9964	1983
834	9975	1971
835	9985	1958
836	9995	1946
837	10006	1934
838	10017	1922
839	10027	1909
840	10038	1897
841	10048	1885
842	10059	1873
843	10070	1861
844	10081	1849
845	10092	1837
846	10103	1825
847	10114	1812
848	10125	1800
849	10135	1788
850	10146	1776
851	10157	1764
852	10167	1752
853	10179	1740
854	10189	1728
855	10200	1715
856	10211	1703
857	10222	1691
858	10233	1679
859	10244	1667
860	10255	1655
861	10265	1643
862	10278	1631
863	10289	1619
864	10300	1607
865	10312	1595
866	10323	1583
867	10334	1571
868	10345	1559
869	10356	1547
870	10367	1535
871	10377	1523
872	10388	1511
873	10398	1499
874	10409	1487
875	10420	1475
876	10431	1463
877	10443	1451
878	10454	1439
879	10465	1427
880	10476	1415
881	10487	1403
882	10498	1391
883	10509	1379
884	10520	1367
885	10531	1355
886	10542	1343
887	10552	1330
888	10563	1318
889	10573	1306
890	10584	1294
891	10594	1282
892	10605	1270
893	10615	1258
894	10625	1246
895	10636	1234
896	10645	1222
897	10656	1210
898	10666	1198
899	10679	1186
900	10689	1174
901	10699	1162
902	10709	1150
903	10720	1138
904	10730	1126
905	10740	1114
906	10749	1102
907	10759	1090
908	10771	1078
909	10782	1066
910	10792	1054
911	10803	1042
912	10814	1030
913	10825	1018
914	10836	1006
915	10848	994
916	10859	982
917	10871	971
918	10882	959
919	10893	947
920	10904	935
921	10915	923
922	10926	911
923	10937	899
924	10948	887
925	10959	875
926	10969	863
927	10980	851
928	10991	840
929	11001	828
930	11011	816
931	11021	804
932	11031	792
933	11041	780
